"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Оформление заказа на странице Checkout","0","checkValidDataForm","Surefire suite","Mon Jun 16 18:25:38 GMT 2025","unknown","Mon Jun 16 18:25:38 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkValidDataForm"
"Фильтрация товаров по значению A-Z на странице Products","581","checkFilterFunctional","Surefire suite","Mon Jun 16 18:25:45 GMT 2025","passed","Mon Jun 16 18:25:46 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","checkFilterFunctional"
"Проверка добавления товара в корзину","627","Проверка функционала добавления товара в корзину","Surefire suite","Mon Jun 16 18:25:50 GMT 2025","passed","Mon Jun 16 18:25:51 GMT 2025","tests.AddToCartTest","Surefire test","tests.AddToCartTest","checkAddToCartFunctional"
"Обязательность заполнения поля 'Name' в форме оформления заказа","1","checkRequiredNameField","Surefire suite","Mon Jun 16 18:25:38 GMT 2025","unknown","Mon Jun 16 18:25:38 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkRequiredNameField"
"Логин в систему невалидными данными","476","login","Surefire suite","Mon Jun 16 18:25:46 GMT 2025","passed","Mon Jun 16 18:25:46 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Логин в систему валидными данными","473","Негативный кейс на проверку логина с невалидным username","Surefire suite","Mon Jun 16 18:25:49 GMT 2025","passed","Mon Jun 16 18:25:49 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginInvalidUsername"
"Логин в систему невалидными данными","466","login","Surefire suite","Mon Jun 16 18:25:47 GMT 2025","passed","Mon Jun 16 18:25:47 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","456","Негативный кейс на проверку логина с пустым паролем","Surefire suite","Mon Jun 16 18:25:50 GMT 2025","passed","Mon Jun 16 18:25:50 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyValue"
"Добавление 3 товаров в корзину со страницы Products","767","add3ProductsInCart","Surefire suite","Mon Jun 16 18:25:44 GMT 2025","passed","Mon Jun 16 18:25:44 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","add3ProductsInCart"
"","257","checkLocatorsLoginPage","Surefire suite","Mon Jun 16 18:25:42 GMT 2025","passed","Mon Jun 16 18:25:42 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocatorsLoginPage"
"","1223","Проверка функционала добавления товара в корзину","Surefire suite","Mon Jun 16 18:25:40 GMT 2025","passed","Mon Jun 16 18:25:41 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCart"
"","493","Проверка логина с валидными данными","Surefire suite","Mon Jun 16 18:25:48 GMT 2025","passed","Mon Jun 16 18:25:48 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
"","625","checkLocatorsProductsPage","Surefire suite","Mon Jun 16 18:25:43 GMT 2025","passed","Mon Jun 16 18:25:43 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocatorsProductsPage"
