"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","417","Негативный кейс на проверку логина с пустым паролем","Surefire suite","Tue Jun 17 07:20:59 GMT 2025","passed","Tue Jun 17 07:21:00 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyValue"
"Обязательность заполнения поля 'Name' в форме оформления заказа","1","checkRequiredNameField","Surefire suite","Tue Jun 17 07:20:01 GMT 2025","unknown","Tue Jun 17 07:20:01 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkRequiredNameField"
"","683","checkLocatorsProductsPage","Surefire suite","Tue Jun 17 07:20:23 GMT 2025","passed","Tue Jun 17 07:20:24 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocatorsProductsPage"
"","222","checkLocatorsLoginPage","Surefire suite","Tue Jun 17 07:20:22 GMT 2025","passed","Tue Jun 17 07:20:23 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocatorsLoginPage"
"Проверка добавления товара в корзину","10449","Проверка функционала добавления товара в корзину","Surefire suite","Tue Jun 17 07:21:00 GMT 2025","broken","Tue Jun 17 07:21:11 GMT 2025","tests.AddToCartTest","Surefire test","tests.AddToCartTest","checkAddToCartFunctional"
"","10444","Проверка логина с валидными данными","Surefire suite","Tue Jun 17 07:20:48 GMT 2025","broken","Tue Jun 17 07:20:58 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
"Оформление заказа на странице Checkout","0","checkValidDataForm","Surefire suite","Tue Jun 17 07:20:01 GMT 2025","unknown","Tue Jun 17 07:20:01 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkValidDataForm"
"Логин в систему валидными данными","414","Негативный кейс на проверку логина с невалидным username","Surefire suite","Tue Jun 17 07:20:59 GMT 2025","passed","Tue Jun 17 07:20:59 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginInvalidUsername"
"Добавление 3 товаров в корзину со страницы Products","10436","add3ProductsInCart","Surefire suite","Tue Jun 17 07:20:24 GMT 2025","broken","Tue Jun 17 07:20:34 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","add3ProductsInCart"
"","11364","Проверка функционала добавления товара в корзину","Surefire suite","Tue Jun 17 07:20:10 GMT 2025","broken","Tue Jun 17 07:20:22 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCart"
"Логин в систему невалидными данными","421","login","Surefire suite","Tue Jun 17 07:20:46 GMT 2025","passed","Tue Jun 17 07:20:46 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Логин в систему невалидными данными","423","login","Surefire suite","Tue Jun 17 07:20:47 GMT 2025","passed","Tue Jun 17 07:20:47 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Фильтрация товаров по значению A-Z на странице Products","10430","checkFilterFunctional","Surefire suite","Tue Jun 17 07:20:35 GMT 2025","broken","Tue Jun 17 07:20:45 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","checkFilterFunctional"
