"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","473","Проверка логина с валидными данными","Surefire suite","Mon Jun 16 18:55:57 GMT 2025","passed","Mon Jun 16 18:55:58 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
"Проверка добавления товара в корзину","644","Проверка функционала добавления товара в корзину","Surefire suite","Mon Jun 16 18:56:00 GMT 2025","passed","Mon Jun 16 18:56:00 GMT 2025","tests.AddToCartTest","Surefire test","tests.AddToCartTest","checkAddToCartFunctional"
"Логин в систему невалидными данными","454","login","Surefire suite","Mon Jun 16 18:55:55 GMT 2025","passed","Mon Jun 16 18:55:56 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","230","checkLocatorsLoginPage","Surefire suite","Mon Jun 16 18:55:51 GMT 2025","passed","Mon Jun 16 18:55:51 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocatorsLoginPage"
"","1807","Проверка функционала добавления товара в корзину","Surefire suite","Mon Jun 16 18:55:49 GMT 2025","passed","Mon Jun 16 18:55:51 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCart"
"Логин в систему валидными данными","449","Негативный кейс на проверку логина с невалидным username","Surefire suite","Mon Jun 16 18:55:58 GMT 2025","passed","Mon Jun 16 18:55:58 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginInvalidUsername"
"","627","checkLocatorsProductsPage","Surefire suite","Mon Jun 16 18:55:52 GMT 2025","passed","Mon Jun 16 18:55:53 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocatorsProductsPage"
"Логин в систему невалидными данными","458","login","Surefire suite","Mon Jun 16 18:55:56 GMT 2025","passed","Mon Jun 16 18:55:57 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Обязательность заполнения поля 'Name' в форме оформления заказа","1","checkRequiredNameField","Surefire suite","Mon Jun 16 18:55:40 GMT 2025","unknown","Mon Jun 16 18:55:40 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkRequiredNameField"
"Добавление 3 товаров в корзину со страницы Products","801","add3ProductsInCart","Surefire suite","Mon Jun 16 18:55:53 GMT 2025","passed","Mon Jun 16 18:55:54 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","add3ProductsInCart"
"Оформление заказа на странице Checkout","0","checkValidDataForm","Surefire suite","Mon Jun 16 18:55:41 GMT 2025","unknown","Mon Jun 16 18:55:41 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkValidDataForm"
"","431","Негативный кейс на проверку логина с пустым паролем","Surefire suite","Mon Jun 16 18:55:59 GMT 2025","passed","Mon Jun 16 18:55:59 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyValue"
"Фильтрация товаров по значению A-Z на странице Products","607","checkFilterFunctional","Surefire suite","Mon Jun 16 18:55:54 GMT 2025","passed","Mon Jun 16 18:55:55 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","checkFilterFunctional"
