"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1055","checkLocatorsProductsPage","Surefire suite","Tue Jun 17 07:11:24 GMT 2025","passed","Tue Jun 17 07:11:25 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocatorsProductsPage"
"","237","checkLocatorsLoginPage","Surefire suite","Tue Jun 17 07:11:23 GMT 2025","passed","Tue Jun 17 07:11:24 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocatorsLoginPage"
"Фильтрация товаров по значению A-Z на странице Products","10428","checkFilterFunctional","Surefire suite","Tue Jun 17 07:11:36 GMT 2025","broken","Tue Jun 17 07:11:47 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","checkFilterFunctional"
"","441","Негативный кейс на проверку логина с пустым паролем","Surefire suite","Tue Jun 17 07:12:01 GMT 2025","passed","Tue Jun 17 07:12:01 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyValue"
"Логин в систему невалидными данными","440","login","Surefire suite","Tue Jun 17 07:11:48 GMT 2025","passed","Tue Jun 17 07:11:49 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Логин в систему невалидными данными","429","login","Surefire suite","Tue Jun 17 07:11:47 GMT 2025","passed","Tue Jun 17 07:11:48 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"Оформление заказа на странице Checkout","0","checkValidDataForm","Surefire suite","Tue Jun 17 07:10:18 GMT 2025","unknown","Tue Jun 17 07:10:18 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkValidDataForm"
"Проверка добавления товара в корзину","10490","Проверка функционала добавления товара в корзину","Surefire suite","Tue Jun 17 07:12:02 GMT 2025","broken","Tue Jun 17 07:12:12 GMT 2025","tests.AddToCartTest","Surefire test","tests.AddToCartTest","checkAddToCartFunctional"
"Добавление 3 товаров в корзину со страницы Products","10459","add3ProductsInCart","Surefire suite","Tue Jun 17 07:11:25 GMT 2025","broken","Tue Jun 17 07:11:36 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","add3ProductsInCart"
"Логин в систему валидными данными","435","Негативный кейс на проверку логина с невалидным username","Surefire suite","Tue Jun 17 07:12:00 GMT 2025","passed","Tue Jun 17 07:12:01 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginInvalidUsername"
"Обязательность заполнения поля 'Name' в форме оформления заказа","1","checkRequiredNameField","Surefire suite","Tue Jun 17 07:10:18 GMT 2025","unknown","Tue Jun 17 07:10:18 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkRequiredNameField"
"","15668","Проверка функционала добавления товара в корзину","Surefire suite","Tue Jun 17 07:11:07 GMT 2025","broken","Tue Jun 17 07:11:23 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCart"
"","10459","Проверка логина с валидными данными","Surefire suite","Tue Jun 17 07:11:49 GMT 2025","broken","Tue Jun 17 07:12:00 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
